FACTOR_ERROR,2017-06-09,"[-2, 0)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-09,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-09,"[-2, 0)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-09,"[-60, -30)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-09,"[-2, 0)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-09,"[-60, -30)",TYPE: HML,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-09,"[-2, 0)",TYPE: HML,the Event Date does not exist in the factor file
ATEN,2012-08-06,"[-60, -30)",the Event Date does not exist in its price file
ATEN,2012-08-06,"[-2, 0)",the Event Date does not exist in its price file
AMAT,2010-07-06,"[-2, 0)","Prices are constant in this duration, not useful"
ADMS,2016-02-16,"[-60, -30)","Zero Price error, 2015-11-17 price is : null | Zero Price error, 2015-11-18 price is : null | Zero Price error, 2015-11-19 price is : null | Zero Price error, 2015-11-20 price is : null | Zero Price error, 2015-11-23 price is : null | Zero Price error, 2015-11-24 price is : null | Zero Price error, 2015-11-25 price is : null | Zero Price error, 2015-11-27 price is : null | Zero Price error, 2015-11-30 price is : null | Zero Price error, 2015-12-01 price is : null | Zero Price error, 2015-12-02 price is : null | Zero Price error, 2015-12-03 price is : null | Zero Price error, 2015-12-04 price is : null | Zero Price error, 2015-12-07 price is : null | Zero Price error, 2015-12-08 price is : null | Zero Price error, 2015-12-09 price is : null | Zero Price error, 2015-12-10 price is : null | Zero Price error, 2015-12-11 price is : null | Zero Price error, 2015-12-14 price is : null | Zero Price error, 2015-12-15 price is : null | Zero Price error, 2015-12-16 price is : null | Zero Price error, 2015-12-17 price is : null | Zero Price error, 2015-12-18 price is : null | Zero Price error, 2015-12-21 price is : null | Zero Price error, 2015-12-22 price is : null | Zero Price error, 2015-12-23 price is : null | Zero Price error, 2015-12-24 price is : null | Zero Price error, 2015-12-28 price is : null | Zero Price error, 2015-12-29 price is : null | Zero Price error, 2015-12-30 price is : null | "
ADMS,2016-02-16,"[-2, 0)","Zero Price error, 2016-02-11 price is : null | Zero Price error, 2016-02-12 price is : null | "
ROK,2017-06-14,"[-60, -30)",the Event Date does not exist in its price file
ROK,2017-06-14,"[-2, 0)",the Event Date does not exist in its price file
FACTOR_ERROR,2017-06-14,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-14,"[-2, 0)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-14,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-14,"[-2, 0)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-14,"[-60, -30)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-14,"[-2, 0)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-14,"[-60, -30)",TYPE: HML,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-14,"[-2, 0)",TYPE: HML,the Event Date does not exist in the factor file
GMED,2009-07-17,"[-60, -30)",the Event Date does not exist in its price file
GMED,2009-07-17,"[-2, 0)",the Event Date does not exist in its price file
EXTR,2008-05-30,"[-2, 0)","Prices are constant in this duration, not useful"
WMT,2012-11-04,"[-60, -30)",the Event Date does not exist in its price file
WMT,2012-11-04,"[-2, 0)",the Event Date does not exist in its price file
FACTOR_ERROR,2012-11-04,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2012-11-04,"[-2, 0)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2012-11-04,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2012-11-04,"[-2, 0)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2012-11-04,"[-60, -30)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2012-11-04,"[-2, 0)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2012-11-04,"[-60, -30)",TYPE: HML,the Event Date does not exist in the factor file
FACTOR_ERROR,2012-11-04,"[-2, 0)",TYPE: HML,the Event Date does not exist in the factor file
DECK,2014-04-18,"[-60, -30)",the Event Date does not exist in its price file
DECK,2014-04-18,"[-2, 0)",the Event Date does not exist in its price file
FACTOR_ERROR,2014-04-18,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2014-04-18,"[-2, 0)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2014-04-18,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2014-04-18,"[-2, 0)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2014-04-18,"[-60, -30)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2014-04-18,"[-2, 0)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2014-04-18,"[-60, -30)",TYPE: HML,the Event Date does not exist in the factor file
FACTOR_ERROR,2014-04-18,"[-2, 0)",TYPE: HML,the Event Date does not exist in the factor file
MON,2013-03-29,"[-60, -30)",the Event Date does not exist in its price file
MON,2013-03-29,"[-2, 0)",the Event Date does not exist in its price file
FACTOR_ERROR,2013-03-29,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2013-03-29,"[-2, 0)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2013-03-29,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2013-03-29,"[-2, 0)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2013-03-29,"[-60, -30)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2013-03-29,"[-2, 0)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2013-03-29,"[-60, -30)",TYPE: HML,the Event Date does not exist in the factor file
FACTOR_ERROR,2013-03-29,"[-2, 0)",TYPE: HML,the Event Date does not exist in the factor file
GMED,2009-10-07,"[-60, -30)",the Event Date does not exist in its price file
GMED,2009-10-07,"[-2, 0)",the Event Date does not exist in its price file
IPXL,2009-01-14,"[-60, -30)","Prices are constant in this duration, not useful"
IPXL,2009-01-14,"[-2, 0)","Prices are constant in this duration, not useful"
YHOO,2009-12-09,"[-2, 0)","Prices are constant in this duration, not useful"
BELFA,2010-12-29,"[-2, 0)","Prices are constant in this duration, not useful"
BSX,2011-05-12,"[-2, 0)","Prices are constant in this duration, not useful"
BELFA,2014-05-12,"[-2, 0)","Prices are constant in this duration, not useful"
PFE,2008-06-20,"[-2, 0)","Prices are constant in this duration, not useful"
ATEN,2013-01-10,"[-60, -30)",the Event Date does not exist in its price file
ATEN,2013-01-10,"[-2, 0)",the Event Date does not exist in its price file
ATEN,2013-06-10,"[-60, -30)",the Event Date does not exist in its price file
ATEN,2013-06-10,"[-2, 0)",the Event Date does not exist in its price file
NKE,2017-06-16,"[-60, -30)",the Event Date does not exist in its price file
NKE,2017-06-16,"[-2, 0)",the Event Date does not exist in its price file
FACTOR_ERROR,2017-06-16,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-16,"[-2, 0)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-16,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-16,"[-2, 0)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-16,"[-60, -30)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-16,"[-2, 0)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-16,"[-60, -30)",TYPE: HML,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-16,"[-2, 0)",TYPE: HML,the Event Date does not exist in the factor file
AMPH,2011-10-21,"[-60, -30)",the Event Date does not exist in its price file
AMPH,2011-10-21,"[-2, 0)",the Event Date does not exist in its price file
POWI,2017-03-10,"[-2, 0)","Prices are constant in this duration, not useful"
MON,2010-04-02,"[-60, -30)",the Event Date does not exist in its price file
MON,2010-04-02,"[-2, 0)",the Event Date does not exist in its price file
FACTOR_ERROR,2010-04-02,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2010-04-02,"[-2, 0)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2010-04-02,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2010-04-02,"[-2, 0)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2010-04-02,"[-60, -30)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2010-04-02,"[-2, 0)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2010-04-02,"[-60, -30)",TYPE: HML,the Event Date does not exist in the factor file
FACTOR_ERROR,2010-04-02,"[-2, 0)",TYPE: HML,the Event Date does not exist in the factor file
AAPL,2017-06-06,"[-60, -30)",the Event Date does not exist in its price file
AAPL,2017-06-06,"[-2, 0)",the Event Date does not exist in its price file
FACTOR_ERROR,2017-06-06,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-06,"[-2, 0)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-06,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-06,"[-2, 0)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-06,"[-60, -30)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-06,"[-2, 0)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-06,"[-60, -30)",TYPE: HML,the Event Date does not exist in the factor file
