FACTOR_ERROR,2012-11-04,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2012-11-04,"[0, 2)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2012-11-04,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2012-11-04,"[0, 2)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2012-11-04,"[-60, -30)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2012-11-04,"[0, 2)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2012-11-04,"[-60, -30)",TYPE: HML,the Event Date does not exist in the factor file
FACTOR_ERROR,2012-11-04,"[0, 2)",TYPE: HML,the Event Date does not exist in the factor file
AVT,2016-09-13,"[-60, -30)","Zero Price error, 2016-06-29 price is : 0.000000 | "
BELFA,2011-01-24,"[0, 2)","Prices are constant in this duration, not useful"
MON,2010-04-02,"[-60, -30)",the Event Date does not exist in its price file
MON,2010-04-02,"[0, 2)",the Event Date does not exist in its price file
FACTOR_ERROR,2010-04-02,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2010-04-02,"[0, 2)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2010-04-02,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2010-04-02,"[0, 2)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2010-04-02,"[-60, -30)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2010-04-02,"[0, 2)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2010-04-02,"[-60, -30)",TYPE: HML,the Event Date does not exist in the factor file
FACTOR_ERROR,2010-04-02,"[0, 2)",TYPE: HML,the Event Date does not exist in the factor file
AMPH,2011-10-07,"[-60, -30)",the Event Date does not exist in its price file
AMPH,2011-10-07,"[0, 2)",the Event Date does not exist in its price file
DLTH,2011-06-23,"[-60, -30)",the Event Date does not exist in its price file
DLTH,2011-06-23,"[0, 2)",the Event Date does not exist in its price file
BKS,2017-01-12,"[0, 2)","Prices are constant in this duration, not useful"
GE,2012-11-29,"[0, 2)","Prices are constant in this duration, not useful"
WDC,2017-06-08,"[-60, -30)",the Event Date does not exist in its price file
WDC,2017-06-08,"[0, 2)",the Event Date does not exist in its price file
FACTOR_ERROR,2017-06-08,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-08,"[0, 2)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-08,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-08,"[0, 2)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-08,"[-60, -30)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-08,"[0, 2)",TYPE: SMB,the Event Date does not exist in the factor file
