Event_Window,Mean_CAR,Var(MCAR),z-stat,p-value
"[-20,0)",-0.003353673564155788,1.0510911849039599e-06,-3.271150988429262,0.0010711070696172555
"[-10,0)",-0.002183974265464922,1.0510911849039597e-06,-2.1302340375450406,0.03315229626265162
"[-5,0)",-0.0020995371889194875,1.0510911849039599e-06,-2.047874672175142,0.040572281189685915
"[-2,0)",-8.760101666705373e-05,1.049387855484157e-06,-0.08551476952192247,0.9318521541013628
"[-2,3)",-1.73234693684936e-05,1.0510911849039599e-06,-0.016897197316232144,0.98651862866650342
"[0,2)",0.0009538583978987731,1.05109118490396e-06,0.9303871654227525,0.35217066138761
"[0,5)",-0.0009355387886342183,1.0596790109370352e-06,-0.9088132128559053,0.36344873088460505
