Event_Window,Mean_CAR,Var(MCAR),z-stat,p-value
"[-20,0)",0.004640226933211331,6.544504370108866e-07,5.735890335958176,9.7001413052619055e-09
"[-10,0)",0.003728421169994013,6.526154768933765e-07,4.615261156172949,3.9260131525637458e-06
"[-5,0)",-0.0002559377836886391,6.526154768933765e-07,-0.31681498886486237,0.75138399017825042
"[-2,0)",0.0002914421967852904,6.515036914823955e-07,0.3610721495156616,0.7180455122810756
"[-2,3)",4.162243474773903e-05,6.526154768933765e-07,0.05152272169854985,0.95890899659691498
"[0,2)",-0.0002982177665143543,6.526154768933765e-07,-0.3691516626262916,0.7120146828613344
"[0,5)",0.00016796487125504448,6.564047816257856e-07,0.2073158913999977,0.83576316419839736
