Event_Window,Mean_CAR,Var(MCAR),z-stat,p-value
"[-5,0)",-0.0013659336476015017,3.7167583594529537e-07,-2.240512854171401,0.025057647225152239
"[-2,0)",-0.00074412585314826,2.3519827590014483e-07,-1.534367272404552,0.12493932430587219
"[-2,3)",-0.002560340694959992,3.72537988031978e-07,-4.19481175871792,2.730982943132338e-05
"[0,2)",-0.00036770410276865307,2.3641323318715025e-07,-0.7562451186926333,0.44950224597766142
