Stock_Ticker,Decision_Date,MFCAR,MFCAR/Sigma
AKAM,2015-11-16,-0.006603138935677157,-0.59232165166352768
AAPL,2015-11-16,-0.0067684745883117865,-0.4978853355019292
CSCO,2015-11-16,0.0042157518651085735,0.53527306854829793
EBAY,2015-11-16,0.00075215826739236319,0.060959698921318674
FB,2015-11-16,0.0045962038196658492,0.37879478689363272
HPQ,2015-11-16,0.001312247741726019,0.086520356656772282
INTC,2015-11-16,0.013674471743513054,1.3244502614770788
INTU,2015-11-16,-0.002513712646782503,-0.19666452725264758
LLNW,2015-11-16,-0.08379201893979224,-2.7993366591841791
MU,2015-11-16,0.034291670384264894,1.3423019230503965
MYGN,2015-11-16,0.023033403486182043,1.2696998582296399
NTAP,2015-11-16,-0.0024040284216288905,-0.20527684169960783
SYMC,2015-11-16,0.001936811377374909,0.17093809982311925
YHOO,2015-11-16,-0.00044303895745159173,-0.020310578966254145
AKAM,2015-11-16,-0.006603138935677157,-0.59232165166352768
LLNW,2015-11-16,-0.08379201893979224,-2.7993366591841791
AKAM,2012-08-31,0.0028630582541277058,0.22833528609188894
AKAM,2015-11-16,-0.006603138935677157,-0.59232165166352768
AKAM,2012-08-31,0.0028630582541277058,0.22833528609188894
AKAM,2015-11-16,-0.006603138935677157,-0.59232165166352768
LLNW,2012-08-31,0.013861436143816387,0.54530137501944609
LLNW,2015-11-16,-0.08379201893979224,-2.7993366591841791
LLNW,2012-08-31,0.013861436143816387,0.54530137501944598
LLNW,2015-11-16,-0.08379201893979224,-2.7993366591841791
IGT,2013-03-13,0.00019121192601350388,0.017447008625094181
HPQ,2013-06-21,-0.023420186654045404,-1.0896717186382381
RHT,2013-06-21,0.0071745620828317907,0.58711387240229329
POWI,2013-03-26,-0.0047816306509256314,-0.19176911769220284
NVO,2013-06-18,-0.015002424701849131,-1.4509244933309731
BBBY,2013-01-25,-0.016476406028972494,-1.6045579166278066
POWI,2013-03-26,-0.0047816306509256314,-0.19176911769220284
TEX,2013-05-14,-0.0093427442232299953,-0.53779667102405937
AMZN,2014-02-21,0.0059527330289931256,0.66110459319773407
CSCO,2014-02-21,-0.0082688660103328402,-0.92387598242246849
HPQ,2014-02-21,-0.012439694751722538,-0.61967619087899883
INTC,2014-02-21,0.0043334295906125976,0.58290871026067914
MSFT,2014-02-21,-0.013697313326694157,-1.3600626975010413
RHT,2014-02-21,-0.020641590273961157,-0.91450069055194461
YHOO,2014-02-21,-0.0069226652784853578,-0.48114613053469379
CSCO,2013-05-01,0.0051927906649856109,0.57147324207001338
LLNW,2013-05-01,-0.021080878673965318,-0.68880406508553149
MSFT,2013-05-01,0.0056442878317000704,1.0283794839068483
XLNX,2013-05-01,-0.0089975140975099652,-0.93751018902530736
NVO,2013-06-18,-0.015002424701849131,-1.4509244933309731
ABT,2013-04-04,-0.011215379855776191,-1.5578961796078408
JNJ,2013-04-04,-0.0026230615099547771,-0.61147654801234663
CSCO,2013-06-25,0.0013134189939746129,0.11784566979962255
CSCO,2015-12-28,0.0075003238440801215,1.0775778441831307
IDT,2013-05-20,-0.00032322010702947679,-0.016086663122190242
MMM,2013-08-06,0.0052054052886345214,1.2318564251733706
TG,2013-08-06,-0.011540292571353961,-0.63281449517409427
CSCO,2013-04-26,0.0077560141464973207,0.90749674144130066
CSCO,2015-04-27,0.016410635860272971,0.95059014679243004
LB,2013-04-26,-0.014351223461670956,-1.254948506939626
LB,2015-04-27,-0.0092700661521024179,-0.85656038497828124
LLNW,2015-04-27,0.026177648265317852,1.153249888541984
XLNX,2013-04-26,-0.0017244435107631679,-0.18254048309164306
XLNX,2015-04-27,-0.0060876477564743977,-0.62932671809481211
HON,2013-02-05,-0.00081206940038081553,-0.11568772703923612
BAX,2013-07-02,-0.0041955933259790225,-0.33336187151533681
ESS,2013-03-04,0.0086099796044045249,1.6001266576354007
PLT,2013-07-31,0.017009909026563474,1.8997467321970369
HON,2015-09-11,0.0013244417228110749,0.23979934083387405
HON,2015-09-11,0.0013244417228110749,0.23979934083387405
NOK,2015-09-11,0.025117322834513817,1.9009261351811775
NOK,2015-09-11,0.025117322834513817,1.9009261351811775
ADBE,2013-10-02,0.00021610600740288796,0.048785773654511963
CSCO,2013-10-02,0.0084627614240402847,0.77076432775761128
EBAY,2013-10-02,-0.0014168040927277307,-0.088069592188252374
IBM,2013-10-02,0.00066841830704671059,0.090401419428210145
ORCL,2013-10-02,-0.0049705338192791958,-0.52339144015362382
MSFT,2013-10-03,0.0020389952694979648,0.07768164725866035
SHLD,2013-09-11,0.053776114261893722,3.3732051029906662
WMT,2013-09-11,-0.0034549329828659544,-0.53967297113217905
DD,2012-11-16,0.0068556017029044458,0.81806277560921914
GEVO,2012-11-16,-0.075220518337366135,-0.87576143960611419
ABT,2014-04-21,-0.011454588830414277,-2.5417881774059543
AAPL,2012-10-11,-0.00028209984905737352,-0.019090127537968328
IPXL,2013-08-07,0.0038599352052971843,0.26244179131979295
SUPN,2013-08-07,-0.0092483692848258393,-0.35047681127304275
MNTA,2013-07-26,-0.00028256871346267476,-0.012781130705676607
MNTA,2015-06-18,-0.040957829420755223,-1.3889165430427923
MNTA,2015-06-18,-0.040957829420755223,-1.3889165430427923
MNTA,2015-06-18,-0.040957829420755223,-1.3889165430427923
MNTA,2015-06-18,-0.040957829420755223,-1.3889165430427923
NVS,2013-07-26,-0.0077788220037065224,-0.9099683521617814
NVS,2015-06-18,-0.011891689076979226,-1.3165114889357756
NVS,2015-06-18,-0.011891689076979226,-1.3165114889357756
