Event_Window,Mean_CAR,Var(MCAR),z-stat,p-value
"[-5,0)",-0.008535288093790838,3.4291775850245204e-06,-4.609174987176272,4.0426997332043129e-06
"[-2,0)",-0.0017341995552035598,2.2507319050985187e-06,-1.1559450427403561,0.24770363703537501
"[-2,3)",-0.006400715034494156,3.42917758502452e-06,-3.4564756705160766,0.00054728861014565486
"[0,2)",-0.0034718031781047136,2.184606053489342e-06,-2.348921645660711,0.018827868384767396
