Stock_Ticker,Decision_Date
AAPL,"April 23, 2009"
XLNX,"May 18, 2012"
CAMP,"February 24, 2016"
MRVL,"January 14, 2013"
VZ,"August 2, 2011"
CIX,"February 25, 2010"
INTC,"February 6, 2015"
AAPL,"July 8, 2011"
BOX,"February 13, 2015"
MCK,"December 12, 2008"
STT,"November 25, 2013"
IDT,"February 15, 2011"
TXN,"June 20, 2014"
PRGO,"December 14, 2016"
