Stock_Ticker,Decision_Date
RTEC,"February 9, 2015"
YHOO,"January 2, 2013"
ILMN,"July 12, 2016"
MDCO,"March 27, 2015"
ANDE,"June 5, 2015"
WHR,"May 6, 2016"
BMY,"January 16, 2014"
MMM,"September 8, 2009"
MON,"March 29, 2013"
SUPN,"October 16, 2015"
ACOR,"December 15, 2015"
WDC,"January 2, 2013"
MON,"June 17, 2009"
AAPL,"October 25, 2011"
POWI,"July 3, 2014"
WHR,"October 30, 2015"
MDCO,"October 13, 2011"
AAPL,"January 27, 2017"
MDCO,"November 12, 2014"
MAT,"May 20, 2014"
MMM,"November 22, 2011"
KMB,"December 23, 2009"
INTC,"May 8, 2014"
GE,"March 8, 2012"
FISV,"October 23, 2009"
VZ,"August 2, 2011"
INTC,"May 9, 2014"
RDWR,"August 22, 2016"
AAPL,"October 31, 2012"
GE,"February 10, 2011"
WLK,"December 29, 2016"
NTGR,"December 31, 2009"
MMM,"December 10, 2008"
YHOO,"September 30, 2011"
BSX,"May 12, 2011"
MNTA,"October 21, 2011"
BRCD,"September 6, 2011"
MON,"March 23, 2009"
ACOR,"October 29, 2015"
WHR,"February 17, 2017"
MON,"July 2, 2012"
MMM,"June 19, 2012"
MON,"June 4, 2009"
SUPN,"April 7, 2014"
ENZ,"November 7, 2012"
MON,"July 29, 2009"
INTC,"November 10, 2010"
SYK,"January 28, 2011"
RDWR,"September 7, 2016"
MSFT,"July 15, 2015"
PFE,"June 20, 2008"
AKAM,"July 1, 2016"
AMGN,"December 9, 2015"
CSCO,"March 2, 2017"
DECK,"June 4, 2012"
WHR,"September 12, 2016"
ROK,"October 7, 2013"
DECK,"April 21, 2014"
MNTA,"October 7, 2011"
MON,"January 29, 2009"
MSFT,"December 14, 2016"
BRCD,"August 6, 2012"
STT,"May 20, 2016"
HAE,"January 30, 2009"
MGI,"May 17, 2011"
WHR,"May 15, 2017"
MMM,"October 31, 2013"
NKE,"June 16, 2017"
MMM,"November 23, 2011"
GPRO,"May 16, 2017"
ELOS,"December 12, 2014"
SYK,"May 18, 2015"
MRO,"March 16, 2016"
AAPL,"November 22, 2011"
GE,"December 12, 2016"
DECK,"November 25, 2013"
MON,"March 3, 2015"
MMM,"October 29, 2013"
WHR,"April 22, 2016"
SUPN,"June 19, 2013"
DECK,"September 23, 2013"
INTC,"December 18, 2009"
RDWR,"March 15, 2016"
POWI,"March 10, 2017"
WHR,"July 14, 2016"
MKSI,"June 28, 2010"
HOLX,"October 25, 2011"
SYK,"February 5, 2013"
BSX,"March 13, 2012"
WHR,"June 22, 2016"
MON,"September 21, 2010"
HAS,"November 29, 2010"
AAPL,"May 2, 2014"
AAPL,"November 21, 2013"
ITW,"June 1, 2016"
CIX,"October 8, 2010"
CGNX,"May 1, 2014"
ALG,"March 2, 2010"
ACOR,"August 18, 2016"
EXTR,"March 19, 2009"
MON,"April 2, 2010"
RTEC,"July 7, 2015"
CTXS,"August 24, 2009"
ADBE,"May 1, 2015"
MON,"December 3, 2008"
DAL,"February 24, 2017"
AAPL,"March 1, 2013"
NUVA,"March 2, 2012"
FISV,"May 20, 2016"
SUPN,"May 5, 2017"
LLY,"March 9, 2009"
