Stock_Ticker,Decision_Date
KYO,"June 28, 2012"
MON,"April 24, 2008"
CHSCL,"November 25, 2013"
CSCO,"April 6, 2016"
MRO,"January 14, 2016"
DD,"May 16, 2017"
BMY,"January 30, 2012"
AMZN,"September 30, 2011"
BLW,"May 20, 2016"
VIA,"August 26, 2014"
ATEN,"August 6, 2012"
BAX,"June 24, 2009"
HON,"December 5, 2012"
SHLD,"January 9, 2015"
CGNX,"May 14, 2015"
HPQ,"June 2, 2009"
MSFT,"August 11, 2009"
AMZN,"February 11, 2009"
GRPN,"May 20, 2016"
TEX,"March 3, 2011"
POWI,"January 19, 2011"
MSFT,"March 16, 2010"
DD,"August 1, 2012"
CHKP,"February 6, 2015"
MSFT,"November 17, 2008"
LEA,"March 16, 2011"
EBAY,"January 16, 2015"
AMAT,"July 6, 2010"
INTC,"November 25, 2014"
VAR,"May 25, 2012"
AAPL,"October 19, 2015"
ENZ,"November 29, 2012"
AMZN,"December 21, 2015"
USB,"August 2, 2011"
PHG,"June 17, 2014"
GRMN,"July 12, 2012"
HUM,"October 22, 2015"
NVDA,"August 12, 2013"
TGT,"November 6, 2012"
OIIM,"May 3, 2012"
MON,"June 15, 2009"
STT,"October 22, 2015"
PRGS,"March 21, 2014"
MGI,"September 24, 2009"
RHT,"April 15, 2011"
HPQ,"October 7, 2016"
CTXS,"September 11, 2014"
MTB,"September 27, 2010"
DDD,"June 20, 2013"
YHOO,"May 20, 2016"
DUK,"October 3, 2016"
CMA,"August 3, 2011"
WHR,"March 10, 2017"
MON,"July 10, 2009"
BAC,"August 3, 2011"
NSIT,"March 21, 2014"
AAPL,"September 19, 2014"
BAX,"August 19, 2009"
EXTR,"October 29, 2008"
ELY,"March 5, 2010"
AAPL,"November 17, 2014"
WMT,"February 24, 2014"
AAPL,"August 12, 2016"
ITRI,"June 6, 2014"
NOK,"September 30, 2014"
LZB,"February 28, 2017"
IBM,"September 18, 2015"
EBAY,"May 8, 2013"
AAPL,"November 23, 2016"
RAD,"October 22, 2015"
STI,"August 2, 2011"
T,"May 20, 2016"
GILD,"March 24, 2016"
FB,"May 20, 2016"
SNPS,"September 29, 2010"
AAPL,"March 6, 2014"
XLNX,"September 4, 2013"
HAE,"June 24, 2009"
TRV,"October 22, 2015"
MNTA,"May 9, 2016"
IBM,"October 12, 2011"
CAJ,"September 25, 2008"
IBM,"October 5, 2010"
CMA,"September 27, 2010"
MON,"August 23, 2010"
NOK,"December 22, 2016"
SNA,"September 25, 2014"
ALG,"February 6, 2012"
AAPL,"August 24, 2012"
BAX,"January 30, 2009"
INTC,"June 23, 2017"
AVT,"August 30, 2013"
BSX,"August 1, 2008"
SSNI,"December 4, 2014"
CSCO,"November 6, 2012"
BDX,"October 29, 2008"
AAPL,"February 26, 2013"
ITRI,"December 19, 2014"
GE,"August 26, 2011"
BDX,"May 22, 2012"
COST,"July 7, 2009"
GGG,"December 1, 2016"
NVDA,"June 19, 2013"
IDTI,"June 19, 2013"
MRVL,"May 7, 2014"
HSNI,"October 22, 2015"
VLO,"October 22, 2015"
NUAN,"May 22, 2013"
LVLT,"November 20, 2015"
INTC,"September 28, 2015"
UEIC,"September 4, 2015"
AAPL,"November 25, 2014"
GMED,"July 17, 2009"
FFIV,"March 15, 2016"
EXTR,"May 30, 2008"
INTU,"May 20, 2016"
TXN,"May 4, 2015"
IBM,"November 7, 2013"
MRVL,"March 31, 2014"
IBM,"August 19, 2014"
HPQ,"February 27, 2017"
BELFA,"April 6, 2016"
SYK,"May 16, 2017"
WFC,"September 27, 2010"
BELFA,"July 11, 2011"
SYMC,"February 6, 2015"
ITW,"December 13, 2013"
WHR,"April 9, 2010"
ITRI,"July 25, 2016"
NOK,"November 7, 2012"
MRO,"January 20, 2016"
COST,"September 29, 2008"
FMC,"September 9, 2011"
CFG,"August 2, 2011"
TDC,"May 26, 2017"
GEH,"October 22, 2015"
NTGR,"March 2, 2017"
IBM,"June 20, 2014"
PFE,"October 17, 2011"
PH,"August 29, 2008"
DFS,"May 20, 2016"
AAPL,"January 25, 2017"
NOK,"November 10, 2010"
GE,"January 3, 2014"
TXN,"May 18, 2016"
AMD,"June 19, 2013"
CSCO,"April 8, 2011"
WFC,"August 2, 2011"
INTC,"June 8, 2015"
SNPS,"April 26, 2012"
USB,"October 22, 2015"
AAPL,"August 20, 2015"
LLNW,"March 27, 2015"
LMT,"February 5, 2014"
POWI,"June 5, 2015"
AAPL,"September 18, 2015"
AAPL,"July 8, 2011"
BBT,"September 27, 2010"
SNPS,"March 10, 2016"
TWX,"February 1, 2010"
RTEC,"February 9, 2015"
CTAA,"October 30, 2012"
NVDA,"May 18, 2016"
HPQ,"January 3, 2014"
AMBA,"March 4, 2011"
KEY,"August 2, 2011"
CSCO,"September 30, 2011"
RCII,"September 28, 2015"
CSCO,"September 30, 2016"
GMED,"October 7, 2009"
HOLX,"September 4, 2012"
ITRI,"December 21, 2016"
CSCO,"February 28, 2013"
BOX,"February 13, 2015"
IBM,"September 19, 2014"
MON,"June 17, 2009"
CAMT,"August 17, 2012"
FB,"April 5, 2013"
TPX,"January 21, 2014"
UUU,"May 14, 2009"
PH,"May 25, 2011"
CNA,"November 25, 2013"
AMTD,"June 29, 2010"
AAPL,"December 22, 2016"
MRVL,"December 26, 2012"
COST,"July 6, 2009"
NKE,"June 16, 2017"
SHLD,"February 11, 2009"
CSCO,"May 12, 2016"
MSFT,"June 20, 2014"
MMM,"November 22, 2011"
INTC,"September 19, 2014"
INTC,"May 8, 2014"
AVT,"January 28, 2016"
GMED,"June 24, 2013"
GE,"March 8, 2012"
NTGR,"August 8, 2013"
ITRI,"October 3, 2016"
BELFA,"December 29, 2010"
RTEC,"August 28, 2009"
MSFT,"March 6, 2014"
VZ,"August 2, 2011"
IBM,"August 24, 2012"
WFC,"August 3, 2011"
MSFT,"November 25, 2014"
AAPL,"March 20, 2015"
GE,"February 10, 2011"
XLNX,"March 27, 2015"
WLK,"December 29, 2016"
NTGR,"December 31, 2009"
BPOP,"May 20, 2016"
YHOO,"September 30, 2011"
WMT,"July 6, 2009"
AAPL,"February 28, 2013"
AAPL,"November 20, 2014"
AAPL,"November 6, 2012"
BSX,"May 12, 2011"
AAPL,"October 1, 2010"
BKS,"November 4, 2014"
SHLD,"April 22, 2015"
OSTK,"January 16, 2015"
PX,"May 26, 2010"
SWIR,"March 24, 2008"
WILN,"January 3, 2014"
CME,"April 15, 2011"
HPQ,"December 21, 2015"
ITRI,"December 4, 2014"
TXN,"April 25, 2016"
HON,"May 28, 2013"
FIS,"May 20, 2016"
NVDA,"July 7, 2015"
GMED,"April 9, 2014"
INTC,"April 9, 2008"
AVT,"May 18, 2012"
KYO,"September 25, 2008"
MSFT,"May 2, 2014"
MSFT,"May 20, 2009"
INTC,"August 8, 2013"
NOK,"May 13, 2014"
CBS,"December 14, 2009"
JNJ,"February 23, 2010"
STI,"March 26, 2010"
BBRY,"December 14, 2015"
TECD,"November 19, 2008"
SNPS,"October 10, 2014"
AMZN,"November 28, 2011"
FITB,"May 20, 2016"
CFG,"September 27, 2010"
FDC,"September 27, 2010"
ENZ,"November 7, 2012"
MGIC,"March 21, 2014"
LLNW,"February 29, 2008"
LEA,"February 10, 2011"
INTC,"November 10, 2010"
SYK,"January 28, 2011"
RDWR,"September 7, 2016"
ILMN,"June 19, 2013"
BELFA,"May 28, 2013"
GE,"November 1, 2012"
ATEN,"June 10, 2013"
DE,"November 25, 2013"
AKAM,"July 1, 2016"
BBRY,"August 11, 2015"
BSX,"January 23, 2009"
MSFT,"May 13, 2014"
PHG,"January 30, 2009"
CAMP,"April 24, 2017"
VAR,"April 25, 2012"
FB,"June 26, 2013"
CSCO,"March 2, 2017"
MSFT,"March 19, 2014"
MU,"March 8, 2010"
NVDA,"March 10, 2009"
AKAM,"March 20, 2015"
BXS,"May 20, 2016"
MPWR,"May 3, 2012"
HPE,"October 7, 2016"
SNX,"November 19, 2008"
INTC,"May 5, 2014"
MSFT,"September 18, 2015"
AAPL,"December 21, 2015"
CSCO,"July 11, 2011"
S,"September 14, 2016"
CSCO,"May 25, 2017"
HPQ,"May 26, 2017"
LEA,"February 25, 2011"
MSFT,"December 14, 2016"
STI,"August 3, 2011"
BRCD,"August 6, 2012"
ILMN,"March 14, 2013"
TGT,"January 16, 2015"
STT,"May 20, 2016"
HAE,"January 30, 2009"
TWX,"May 15, 2009"
WMT,"June 17, 2013"
AVT,"October 2, 2013"
MGI,"May 17, 2011"
HUM,"May 20, 2016"
NUAN,"February 4, 2014"
MMM,"November 23, 2011"
CMA,"August 2, 2011"
ORCL,"August 25, 2008"
SYK,"May 18, 2015"
MRO,"March 16, 2016"
IBM,"May 5, 2014"
STM,"November 10, 2010"
CHTR,"May 20, 2016"
DECK,"November 25, 2013"
NUVA,"September 29, 2011"
PHG,"June 3, 2009"
BAX,"April 4, 2008"
MON,"March 3, 2015"
BWA,"February 27, 2015"
TWTR,"May 20, 2016"
INTC,"September 4, 2015"
CAMT,"February 9, 2015"
SYK,"August 7, 2013"
YHOO,"April 15, 2011"
ITRI,"November 14, 2014"
GGG,"November 17, 2016"
INTC,"February 6, 2015"
WMT,"September 29, 2008"
AAPL,"November 21, 2013"
AAPL,"November 21, 2014"
RDWR,"March 15, 2016"
POWI,"March 10, 2017"
IDTI,"February 29, 2012"
STI,"September 27, 2010"
SHLD,"May 12, 2017"
CSCO,"February 26, 2013"
JNJ,"January 28, 2011"
KYO,"May 23, 2011"
WMT,"July 16, 2009"
WMT,"March 8, 2017"
FMC,"August 26, 2009"
SYK,"February 5, 2013"
SMCI,"February 23, 2011"
BSX,"March 13, 2012"
AMZN,"January 9, 2015"
CAMT,"November 17, 2010"
MSFT,"April 8, 2009"
AAPL,"December 3, 2009"
HON,"June 17, 2014"
MON,"September 21, 2010"
CAMT,"March 5, 2009"
NOK,"September 6, 2016"
CSCO,"September 28, 2011"
FDC,"March 26, 2010"
PHG,"June 20, 2014"
YHOO,"May 15, 2009"
BELFA,"March 31, 2014"
SYX,"August 11, 2010"
AAPL,"May 2, 2014"
AAPL,"February 3, 2016"
CAMT,"August 28, 2009"
USB,"March 26, 2010"
MMM,"April 29, 2014"
EBAY,"May 20, 2016"
CIX,"October 8, 2010"
CGNX,"May 1, 2014"
WMT,"May 6, 2014"
BAX,"March 16, 2012"
P,"December 14, 2009"
EXTR,"March 19, 2009"
MON,"April 2, 2010"
WFC,"March 26, 2010"
TGT,"September 29, 2008"
BOX,"August 20, 2015"
CAMT,"March 26, 2012"
FMC,"March 17, 2014"
MSTR,"November 20, 2008"
SATS,"May 26, 2017"
BELFA,"November 26, 2012"
HPQ,"September 4, 2015"
FMC,"September 23, 2011"
MON,"November 7, 2011"
PRGO,"December 14, 2016"
AAPL,"June 6, 2017"
BBY,"December 17, 2012"
ABT,"January 14, 2011"
MSFT,"September 19, 2014"
AVT,"September 3, 2013"
AMZN,"April 15, 2011"
ETSY,"May 20, 2016"
NUVA,"March 2, 2012"
IBKR,"February 23, 2011"
ALK,"October 22, 2015"
GILD,"January 26, 2017"
YHOO,"February 1, 2010"
TXN,"October 3, 2013"
FISV,"May 20, 2016"
KEY,"March 26, 2010"
FOSL,"April 3, 2014"
SATS,"March 4, 2011"
LLNW,"April 15, 2015"
AMD,"February 29, 2012"
INTC,"August 19, 2016"
IPXL,"November 7, 2012"
AAPL,"January 3, 2014"
IDT,"August 18, 2011"
INTC,"August 24, 2012"
WMT,"June 25, 2013"
BMY,"October 19, 2010"
HPQ,"March 1, 2011"
SPLS,"December 21, 2010"
BGCA,"June 29, 2010"
BKS,"December 28, 2016"
LLY,"April 14, 2016"
RMBS,"May 8, 2013"
T,"October 7, 2013"
MS,"May 20, 2016"
MU,"March 21, 2012"
IBM,"June 23, 2017"
ENZ,"January 3, 2014"
ITRI,"July 26, 2016"
SUPN,"April 4, 2017"
JKHY,"March 31, 2016"
WDC,"March 31, 2015"
BSX,"February 2, 2010"
BXS,"September 27, 2010"
FBC,"May 17, 2010"
CSCO,"June 1, 2017"
INTC,"November 21, 2013"
TDA,"October 30, 2012"
HPQ,"February 23, 2011"
MON,"August 3, 2011"
SNX,"May 7, 2009"
WMT,"June 30, 2009"
DISH,"January 15, 2010"
XLNX,"May 18, 2012"
BXS,"August 2, 2011"
CSCO,"August 17, 2011"
MSFT,"May 8, 2013"
CSCO,"September 18, 2014"
YHOO,"December 19, 2012"
RTEC,"March 26, 2012"
GGG,"March 14, 2017"
MON,"March 29, 2013"
IBM,"March 1, 2011"
NUAN,"January 9, 2014"
GE,"November 7, 2012"
EXTR,"November 10, 2011"
AAPL,"June 20, 2014"
IDT,"February 15, 2011"
GE,"November 29, 2012"
MSFT,"August 24, 2012"
NVDA,"August 6, 2015"
VAR,"February 23, 2012"
SSNI,"December 19, 2014"
USB,"August 3, 2011"
NOK,"March 19, 2014"
HSNI,"November 18, 2011"
ITW,"November 18, 2013"
