Stock_Ticker,Decision_Date
FOSL,"April 3, 2014"
TGT,"November 6, 2012"
EA,"December 5, 2014"
CSCO,"May 17, 2010"
WMT,"June 3, 2010"
UTX,"May 20, 2011"
FFIV,"September 7, 2016"
AAPL,"February 3, 2016"
AAPL,"June 12, 2017"
DISH,"February 8, 2010"
TGT,"August 14, 2013"
IPXL,"May 15, 2014"
IDT,"August 18, 2011"
AAPL,"December 22, 2016"
AAPL,"June 14, 2011"
OIIM,"March 3, 2011"
DG,"July 13, 2016"
GMED,"October 7, 2009"
BSX,"February 11, 2008"
PII,"August 14, 2009"
HOLX,"September 4, 2012"
BELFA,"March 31, 2014"
DG,"July 14, 2016"
WMT,"January 13, 2010"
SPLS,"December 21, 2010"
CSCO,"June 1, 2017"
CAMT,"August 17, 2012"
AAPL,"October 19, 2015"
GGG,"March 14, 2017"
WMT,"May 2, 2017"
BSX,"February 14, 2008"
CTXS,"June 2, 2008"
PII,"September 17, 2009"
BKS,"December 28, 2016"
BSX,"July 6, 2009"
XLNX,"September 3, 2013"
VAR,"May 25, 2012"
RMBS,"May 8, 2013"
VAR,"April 26, 2012"
BOX,"February 13, 2015"
IPXL,"October 6, 2009"
GMED,"April 9, 2014"
EA,"April 24, 2015"
CL,"February 3, 2012"
CSCO,"May 20, 2011"
NATI,"February 29, 2012"
TGT,"December 7, 2010"
WDC,"March 31, 2015"
ILMN,"July 1, 2013"
WMT,"November 21, 2016"
BSX,"February 2, 2010"
WMT,"March 8, 2017"
XLNX,"October 2, 2013"
MSFT,"June 13, 2014"
YHOO,"December 9, 2009"
CSCO,"March 22, 2013"
NVO,"September 25, 2009"
GMED,"October 27, 2009"
ILMN,"June 19, 2013"
BELFA,"January 24, 2011"
FFIV,"March 15, 2016"
CDW,"November 19, 2008"
CTXS,"September 17, 2012"
CRY,"March 10, 2015"
AAPL,"April 23, 2009"
XLNX,"May 18, 2012"
SNPS,"December 19, 2014"
BKS,"January 4, 2017"
VZ,"August 2, 2011"
CSCO,"September 18, 2014"
ABT,"May 22, 2012"
AAPL,"July 8, 2011"
FOSL,"September 19, 2014"
NUAN,"June 4, 2014"
IBM,"March 1, 2011"
NUAN,"January 9, 2014"
SYMC,"March 24, 2016"
POWI,"August 7, 2015"
AMGN,"January 31, 2017"
MTSC,"January 4, 2010"
IDT,"February 15, 2011"
ATEN,"January 10, 2013"
SSNI,"December 4, 2014"
TXN,"June 20, 2014"
AMGN,"February 15, 2017"
AAPL,"February 28, 2013"
JNJ,"March 31, 2011"
