Event_Window,Mean_CAR,Var(MCAR),z-stat,p-value
"[-20,0)",0.0030605801365876394,7.077101842949954e-07,3.638111730783924,0.00027464428144695959
"[-10,0)",0.002535169309919394,7.077101842949954e-07,3.0135558601071204,0.0025820550200054086
"[-5,0)",-0.0007474196669838827,7.077101842949954e-07,-0.8884577880402816,0.37429455243653886
"[-2,0)",0.00020195438640521093,7.072026647632702e-07,0.24014931166513778,0.81021450731429834
"[-2,3)",-0.00036655933834282454,7.077101842949954e-07,-0.43572910015036825,0.66303328979821141
"[0,2)",-0.0005739543930830682,7.077101842949954e-07,-0.6822596100158297,0.49507480775099399
"[0,5)",-4.376507518375451e-05,7.113768648434866e-07,-0.051889299801042045,0.95861690031272784
